in_vivo_day_length_hrs,in_vivo_peak_time_hrs_after_dawn,in_vivo_peak_time_stdev_hrs
4,14.4,0.382796725865481
6,13.305,0.288963665535992
8,13.30625,0.632837995518149
9,13.15,0.422137418384105
10,13.54125,0.324188547431454
11,14.02625,0.314548996864673
12,14.21875,0.636069122479179
13,14.905,0.570187938941434
14,15.36625,0.380486061317818
16,16.80125,0.615895109344347
18,18.5025,0.654997273712979
20,19.71875,0.801542040604951
