day_length_hrs,peak_time_CT_hrs,peak_time_error_CT_hrs
6,5.94,0.3521
8,7.6022,0.4818
10,8.4327,0.3149
12,9.5088,0.3112
14,10.3786,0.2825
18,12.1922,0.3598
