day_length,dawn_time_CT,dawn_phaseshift_CT
6,30.0168,-1.74934068749612
8,28.368,-1.34472806091183
10,27.48,-1.24410659974876
12,26.2992,-2.02647313987123
14,25.4856,-2.56554276812634
18,23.6856,-3.75817468904474
