in_vivo_day_length_hrs,in_vivo_peak_time_hrs_after_dawn,in_vivo_peak_time_stdev_hrs
4,13.795,0.388544291769513
6,12.96,0.276526068692743
8,13.25875,0.522724661201832
9,13.275,0.375461620637085
10,13.7425,0.282172692816699
11,14.305,0.237787420068553
12,14.6175,0.438560958460406
13,15.1375,0.425398972394487
14,15.60625,0.401672841288247
16,16.905,0.524703998187826
18,18.36,0.415554706730314
20,19.04875,0.499211878865079
