rxnA_time_hrs,rxnA_polarization_mP,rxnB_time_hrs,rxnB_polarization_mP
0.250055555254221,126,0.250055555254221,172
0.500055555254221,123,0.500055555254221,171
0.750055555254221,132,0.750055555254221,172
1.00005555525422,132,1.00005555525422,170
1.25005555525422,131,1.25005555525422,170
1.50005555525422,132,1.50005555525422,170
1.75008333474398,131,1.75008333474398,168
2.00008333474398,132,2.00008333474398,168
2.25008333474398,133,2.25008333474398,167
2.50008333474398,133,2.50008333474398,165
2.75008333474398,132,2.75008333474398,165
3.00011111050844,134,3.00011111050844,164
3.25011111050844,135,3.25011111050844,161
3.50011111050844,134,3.50011111050844,161
3.75011111050844,135,3.75011111050844,161
4.00011111050844,135,4.00011111050844,159
4.25011111050844,145,4.25011111050844,157
4.50011111050844,144,4.50011111050844,156
4.7501388899982,145,4.7501388899982,156
5.0001388899982,146,5.0001388899982,154
5.2501388899982,147,5.2501388899982,152
5.5001388899982,145,5.5001388899982,151
5.7501388899982,147,5.7501388899982,151
6.0001388899982,148,6.0001388899982,150
6.2501388899982,148,6.2501388899982,149
6.50016666576266,149,6.50016666576266,148
6.75016666576266,149,6.75016666576266,149
7.00016666576266,149,7.00016666576266,148
7.25016666576266,150,7.25016666576266,147
7.50016666576266,150,7.50016666576266,145
7.75016666576266,151,7.75016666576266,146
8.00019444525242,151,8.00019444525242,146
8.25019444525242,152,8.25019444525242,145
8.50019444525242,155,8.50019444525242,144
8.75019444525242,155,8.75019444525242,145
9.00019444525242,155,9.00019444525242,145
9.25019444525242,157,9.25019444525242,145
9.50019444525242,158,9.50019444525242,145
9.75022222101688,159,9.75022222101688,145
10.0002222210169,161,10.0002222210169,144
10.2502222210169,164,10.2502222210169,145
10.5002222210169,164,10.5002222210169,144
10.7502222210169,165,10.7502222210169,145
11.0002222210169,166,11.0002222210169,144
11.2502500005066,167,11.2502500005066,145
11.5002500005066,167,11.5002500005066,144
11.7502500005066,168,11.7502500005066,144
12.0002500005066,169,12.0002500005066,144
12.2502500005066,169,12.2502500005066,145
12.5002500005066,169,12.5002500005066,146
12.7502777762711,171,12.7502777762711,146
13.0002777762711,170,13.0002777762711,145
13.2502777762711,171,13.2502777762711,143
13.5002777762711,171,13.5002777762711,144
13.7502777762711,169,13.7502777762711,145
14.0002777762711,169,14.0002777762711,144
14.2502777762711,169,14.2502777762711,145
14.5003055557609,169,14.5003055557609,144
14.7503055557609,168,14.7503055557609,144
15.0003055557609,167,15.0003055557609,145
15.2503055557609,167,15.2503055557609,144
15.5003055557609,165,15.5003055557609,144
15.7503055557609,164,15.7503055557609,145
16.0003055557609,163,16.0003055557609,144
16.2503333315253,162,16.2503333315253,145
16.5003333315253,160,16.5003333315253,145
16.7503333315253,159,16.7503333315253,144
17.0003333315253,159,17.0003333315253,144
17.2503333315253,158,17.2503333315253,144
17.5003611110151,155,17.5003611110151,144
17.7503611110151,155,17.7503611110151,146
18.0003611110151,154,18.0003611110151,145
18.2503611110151,153,18.2503611110151,146
18.5003611110151,154,18.5003611110151,147
18.7503611110151,153,18.7503611110151,146
19.0003611110151,150,19.0003611110151,147
19.2503888905048,150,19.2503888905048,149
19.5003888905048,151,19.5003888905048,150
19.7503888905048,149,19.7503888905048,150
20.0003888905048,148,20.0003888905048,149
20.2503888905048,148,20.2503888905048,151
20.5003888905048,148,20.5003888905048,152
20.7503888905048,148,20.7503888905048,154
21.0004166662693,147,21.0004166662693,154
21.2504166662693,148,21.2504166662693,155
21.3075000010431,152,21.3075000010431,158
21.5575555562973,150,21.5575555562973,158
21.8075555562973,149,21.8075555562973,157
22.0575555562973,148,22.0575555562973,159
22.3075555562973,148,22.3075555562973,159
22.5575555562973,148,22.5575555562973,159
22.8075555562973,147,22.8075555562973,162
23.0575833357871,148,23.0575833357871,162
23.3075833357871,148,23.3075833357871,164
23.5575833357871,148,23.5575833357871,164
23.8075833357871,147,23.8075833357871,167
24.0575833357871,147,24.0575833357871,167
24.3075833357871,147,24.3075833357871,167
24.5575833357871,146,24.5575833357871,167
24.8075833357871,148,24.8075833357871,167
25.0576111115515,148,25.0576111115515,169
25.2822222262621,151,25.2822222262621,169
25.5322500057518,150,25.5322500057518,171
25.7822777815163,148,25.7822777815163,169
26.0322777815163,147,26.0322777815163,168
26.2822777815163,148,26.2822777815163,167
26.5322777815163,147,26.5322777815163,165
26.7822777815163,148,26.7822777815163,167
27.0323055610061,148,27.0323055610061,165
27.2823055610061,148,27.2823055610061,164
27.5323055610061,148,27.5323055610061,163
27.7823055610061,148,27.7823055610061,163
28.0323055610061,150,28.0323055610061,160
28.2823055610061,148,28.2823055610061,159
28.5323333367705,149,28.5323333367705,159
28.7823333367705,147,28.7823333367705,161
29.0323333367705,147,29.0323333367705,159
29.2823333367705,147,29.2823333367705,159
29.4172222241759,151,29.4172222241759,159
29.6672777794302,151,29.6672777794302,159
29.9172777794302,150,29.9172777794302,157
30.1672777794302,149,30.1672777794302,156
30.4172777794302,150,30.4172777794302,155
30.6672777794302,151,30.6672777794302,155
30.9172777794302,150,30.9172777794302,153
31.1673055589199,151,31.1673055589199,152
31.4173055589199,153,31.4173055589199,151
31.6673055589199,153,31.6673055589199,152
31.9173055589199,153,31.9173055589199,151
32.1673055589199,154,32.1673055589199,150
32.4173333346844,156,32.4173333346844,150
32.6673333346844,156,32.6673333346844,150
32.9173333346844,157,32.9173333346844,150
33.1673333346844,158,33.1673333346844,149
33.3266666680574,162,33.3266666680574,150
33.5767222233117,161,33.5767222233117,150
33.8267222233117,162,33.8267222233117,150
