day_length,dusk_time_CT,dusk_phaseshift_CT
6,12.0048,4.59667939183793
8,12.3504,4.94065805099684
10,13.4592,6.04425624913168
12,14.3256,6.90659163771756
14,15.516,7.68069739807439
18,17.724,8.56217047892936
