trial,day_length,phase_at_dawn_rad,phase_error_rad
2,6,-2.73586408184756,0.0958949850092039
2,8,-2.88063727077901,0.0932307062578235
2,10,3.14159219289315,0.0928734546005461
2,12,2.97386248710569,0.0940703201556969
2,14,2.76462413045435,0.0971203349417422
3,5.5,2.74636572982322,0.0711175284313956
3,7.5,3.1415926533745,0.0721668661797974
3,9.5,2.89040788457793,0.0716567683716058
3,11.5,2.7313698722331,0.0709634878237777
3,13.5,2.53153331114019,0.0714818254681484
3,15.5,2.40462893283559,0.0720686501375241
