trial,day_length_hrs,peak_time_in_PKaiC_units,peak_time_error
1,6,8.45023101408662,0.366291861166512
1,8,9.00322386158144,0.356115065973147
1,10,10.0000017597316,0.354750465160743
1,12,10.6406820424377,0.359322154824392
1,14,11.4399136923294,0.370972353137251
2,5.5,11.5096556454509,0.27164894856804
2,7.5,10.0000000008224,0.275657123519186
2,9.5,10.9594551428232,0.273708693415969
2,11.5,11.5669356021238,0.271060556788698
2,13.5,12.3302550383259,0.273040460747711
2,15.5,12.8149940568982,0.275281965872337
