day_length,dusk_time_CT,dusk_arrow_top_CT
6,9.52553172988382,-3
8,10.9644597970458,-3
10,11.9596028135525,-3
12,13.3108434455031,-3
14,14.5035327102683,-3
15.5,14.622393031692,-3
