day_length,dawn_time_CT,dawn_arrow_top_CT
6,27.5497689859134,-3
8,26.9967761384186,-3
10,25.9999982402684,-3
12,25.3593179575623,-3
14,24.5600863076706,-3
15.5,23.1850059431018,-3
